date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:19:44	447050/447050	---MCZ	200	added ('OK')	image/svg+xml	etag:%224741ff22a3a63fb6e386f95b9101e859-ssl-df%22	https://comeout.netlify.app/demo/default/fonts/fontawesome-webfont.svg?v=4.7.0	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/fontawesome-webfont3e6e.svg	(from https://comeout.netlify.app/demo/default/css/font-awesome.min.css)
21:19:45	13060/13060	---MCZ	200	added ('OK')	text/html	etag:%221942ebb154c3315235a94d13764cc8eb-ssl-df%22	https://comeout.netlify.app/demo/default/css/plugins/owl.video.play.png	F:/website_copy/portfolio/comeout.netlify.app/demo/default/css/plugins/owl.video.play.html	(from https://comeout.netlify.app/demo/default/css/plugins/owl.carousel.min.css)
21:19:46	20127/20127	---MCZ	200	added ('OK')	application/octet-stream	etag:%22f043aaf55ac18d395cc4f393bb0e6651-ssl-df%22	https://comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.eot	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.eot	(from https://comeout.netlify.app/demo/default/css/bootstrap.min.css)
21:19:47	20127/20127	---MCZ	200	added ('OK')	application/octet-stream	etag:%22f043aaf55ac18d395cc4f393bb0e6651-ssl-df%22	https://comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.eot?	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regulard41d.eot	(from https://comeout.netlify.app/demo/default/css/bootstrap.min.css)
21:19:47	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%22912c5605ebbe3a696ac4d66d35ace34d-ssl%22	https://comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.woff2	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.woff2	(from https://comeout.netlify.app/demo/default/css/bootstrap.min.css)
21:19:48	23424/23424	---MCZ	200	added ('OK')	application/font-woff	etag:%2299e373a94b288751f762666efbc596e7-ssl-df%22	https://comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.woff	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.woff	(from https://comeout.netlify.app/demo/default/css/bootstrap.min.css)
21:19:51	45404/45404	---M--	200	added ('OK')	font/ttf	etag:%229375610d0cf6dde022ec4a9ccf04300b-ssl%22	https://comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.ttf	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.ttf	(from https://comeout.netlify.app/demo/default/css/bootstrap.min.css)
21:19:51	1163/1163	---M--	200	added ('OK')	image/png	etag:%22247ee64e95e5bf1ac431ad9e4ee2fe64-ssl%22	https://comeout.netlify.app/demo/default/img/cross.png	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/cross.png	(from https://comeout.netlify.app/demo/default/css/main.css)
21:19:52	109025/109025	---MCZ	200	added ('OK')	image/svg+xml	etag:%22d7711fb07356f4217839bf596365444f-ssl-df%22	https://comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.svg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/fonts/glyphicons-halflings-regular.svg	(from https://comeout.netlify.app/demo/default/css/bootstrap.min.css)
21:19:52	63226/63226	---M--	200	added ('OK')	image/jpeg	etag:%22d109cb3d0e913f52de77599a18231b7a-ssl%22	https://comeout.netlify.app/demo/default/img/portfolio/port-bg.jpg	F:/website_copy/portfolio/comeout.netlify.app/demo/default/img/portfolio/port-bg.jpg	(from https://comeout.netlify.app/demo/default/css/main.css)
